country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44
United States,Washington,53,2012,all,all,87463.0,1372482.0,63.72615451423043
United States,West Virginia,54,2012,all,all,20827.0,339831.0,61.286345271620306
United States,Wisconsin,55,2012,all,all,67295.0,1087681.0,61.87016229942419
United States,Wyoming,56,2012,all,all,7572.0,108281.0,69.92916578162374
United States,Alabama,01,2013,all,all,58167.0,959105.0,60.64716584732641
United States,Alaska,02,2013,all,all,11446.0,144566.0,79.17490972981199
United States,Arizona,04,2013,all,all,85600.0,1294004.0,66.151263829169
United States,Arkansas,05,2013,all,all,37832.0,575314.0,65.75887254612265
United States,California,06,2013,all,all,494705.0,7975692.0,62.02659280222957
United States,Colorado,08,2013,all,all,65007.0,1064592.0,61.062829703773836
United States,Connecticut,09,2013,all,all,36085.0,683436.0,52.79938428762898
United States,Delaware,10,2013,all,all,10831.0,178784.0,60.581483801682474
United States,District of Columbia,11,2013,all,all,9288.0,174176.0,53.325372037479326
United States,Florida,12,2013,all,all,215407.0,3635323.0,59.25388197967553
United States,Georgia,13,2013,all,all,128748.0,2081959.0,61.839834502024296
United States,Hawaii,15,2013,all,all,18987.0,260955.0,72.75967120767949
United States,Idaho,16,2013,all,all,22383.0,310808.0,72.01552083601452
United States,Illinois,17,2013,all,all,156931.0,2601261.0,60.32881744661531
United States,Indiana,18,2013,all,all,83102.0,1291398.0,64.35041714483064
United States,Iowa,19,2013,all,all,39094.0,584234.0,66.91496900214639
United States,Kansas,20,2013,all,all,38839.0,556826.0,69.75069411270307
United States,Kentucky,21,2013,all,all,55686.0,852664.0,65.30825741440943
United States,Louisiana,22,2013,all,all,63201.0,934904.0,67.6015933186723
United States,Maine,23,2013,all,all,12776.0,234569.0,54.465850133649376
United States,Maryland,24,2013,all,all,71953.0,1191591.0,60.38397403135808
United States,Massachusetts,25,2013,all,all,71788.0,1366099.0,52.549632200887345
United States,Michigan,26,2013,all,all,113489.0,1896229.0,59.849838811662515
United States,Minnesota,27,2013,all,all,69159.0,1048069.0,65.98706764535541
United States,Mississippi,28,2013,all,all,38634.0,600368.0,64.35053167390667
United States,Missouri,29,2013,all,all,75296.0,1170470.0,64.32971370475109
United States,Montana,30,2013,all,all,12377.0,183478.0,67.45767884978035
United States,Nebraska,31,2013,all,all,26095.0,359792.0,72.52801618713033
United States,Nevada,32,2013,all,all,35030.0,552882.0,63.358908410836314
United States,New Hampshire,33,2013,all,all,12396.0,245008.0,50.594266309671525
United States,New Jersey,34,2013,all,all,102575.0,1707609.0,60.069371852689926
United States,New Mexico,35,2013,all,all,26354.0,400062.0,65.87478940764181
United States,New York,36,2013,all,all,236980.0,4022854.0,58.908426704026546
United States,North Carolina,37,2013,all,all,119002.0,1964498.0,60.576289718798385
United States,North Dakota,38,2013,all,all,10599.0,139129.0,76.18109811757434
