country,entity,state,year,marital,parity,births_15_44,female_15_44,asfr_15_44,housing_cost_burden,rent_burden_share,median_gross_rent,housing_estimate_type,housing_source_url
United States,Oregon,41,2019,all,all,41858.0,827501.0,50.58362467235689,0.4549799339134014,0.4549799339134014,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Pennsylvania,42,2019,all,all,134230.0,2382036.0,56.350953554018496,0.4362267183949797,0.4362267183949797,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Rhode Island,44,2019,all,all,10175.0,207887.0,48.94485946692193,0.4585394929115287,0.4585394929115287,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,South Carolina,45,2019,all,all,57038.0,976843.0,58.39014048316874,0.4202133726462873,0.4202133726462873,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,South Dakota,46,2019,all,all,11449.0,161553.0,70.8683837502244,0.35917026732708046,0.35917026732708046,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Tennessee,47,2019,all,all,80450.0,1331276.0,60.43074463897794,0.4210020730762179,0.4210020730762179,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Texas,48,2019,all,all,377599.0,6015513.0,62.77087257562239,0.4480370734721933,0.4480370734721933,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Utah,49,2019,all,all,46826.0,701559.0,66.74563365304985,0.4182228920673261,0.4182228920673261,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Vermont,50,2019,all,all,5361.0,114461.0,46.83691388333144,0.5062798144154741,0.5062798144154741,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Virginia,51,2019,all,all,97429.0,1663150.0,58.581005922496466,0.42856204688780486,0.42856204688780486,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Washington,53,2019,all,all,84895.0,1509040.0,56.25762073901288,0.45282489136809245,0.45282489136809245,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,West Virginia,54,2019,all,all,18136.0,314987.0,57.576979367402465,0.36271415806246676,0.36271415806246676,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
United States,Wisconsin,55,2019,all,all,63270.0,1089256.0,58.085518923007996,0.4000091987269984,0.4000091987269984,,1yr_table,https://www2.census.gov/programs-surveys/acs/summary_file/2019/prototype/1YRData/acsdt1y2019-b25070.dat
