country,state,entity,year,age,age_band,marital,parity,exposure,source,allocation
United States,05,Arkansas,2010,36,35_39,unmarried,all,6179.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,37,35_39,married,all,12941.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,37,35_39,unmarried,all,6179.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,38,35_39,married,all,12941.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,38,35_39,unmarried,all,6179.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,39,35_39,married,all,12941.2,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,39,35_39,unmarried,all,6179.0,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,40,40_44,married,all,11930.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,40,40_44,unmarried,all,6390.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,41,40_44,married,all,11930.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,41,40_44,unmarried,all,6390.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,42,40_44,married,all,11930.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,42,40_44,unmarried,all,6390.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,43,40_44,married,all,11930.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,43,40_44,unmarried,all,6390.4,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,44,40_44,married,all,11930.6,Census ACS1 B12002,uniform_within_band
United States,05,Arkansas,2010,44,40_44,unmarried,all,6390.4,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,15,15_17,married,all,1561.0,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,15,15_17,unmarried,all,267116.0,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,16,15_17,married,all,1561.0,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,16,15_17,unmarried,all,267116.0,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,17,15_17,married,all,1561.0,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,17,15_17,unmarried,all,267116.0,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,18,18_19,married,all,9885.5,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,18,18_19,unmarried,all,270143.5,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,19,18_19,married,all,9885.5,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,19,18_19,unmarried,all,270143.5,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,20,20_24,married,all,40929.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,20,20_24,unmarried,all,225102.8,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,21,20_24,married,all,40929.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,21,20_24,unmarried,all,225102.8,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,22,20_24,married,all,40929.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,22,20_24,unmarried,all,225102.8,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,23,20_24,married,all,40929.6,Census ACS1 B12002,uniform_within_band
United States,06,California,2010,23,20_24,unmarried,all,225102.8,Census ACS1 B12002,uniform_within_band
