entity,state,year,housing_cost_burden,rent_burden_share,median_gross_rent,estimate_type,source_url
North Dakota,38,2021,0.3845009330710647,0.3845009330710647,,,
Ohio,39,2021,0.4062281743480355,0.4062281743480355,,,
Oklahoma,40,2021,0.4197442570160822,0.4197442570160822,,,
Oregon,41,2021,0.4855336547896505,0.4855336547896505,,,
Pennsylvania,42,2021,0.44203418692466584,0.44203418692466584,,,
Rhode Island,44,2021,0.4583758448191639,0.4583758448191639,,,
South Carolina,45,2021,0.44868458342837786,0.44868458342837786,,,
South Dakota,46,2021,0.3500096103682144,0.3500096103682144,,,
Tennessee,47,2021,0.43883112978435657,0.43883112978435657,,,
Texas,48,2021,0.47503608826725513,0.47503608826725513,,,
Utah,49,2021,0.4530211104346548,0.4530211104346548,,,
Vermont,50,2021,0.468404808317089,0.468404808317089,,,
Virginia,51,2021,0.4609016474704227,0.4609016474704227,,,
Washington,53,2021,0.46294587974133417,0.46294587974133417,,,
West Virginia,54,2021,0.4109957858592165,0.4109957858592165,,,
Wisconsin,55,2021,0.40585619309056237,0.40585619309056237,,,
Wyoming,56,2021,0.44034466885321366,0.44034466885321366,,,
