entity,code,year,indicator,value
India,IND,2016,SP.POP.65UP.MA.IN,35603764.0
India,IND,2017,SP.POP.0014.FE.IN,180541801.0
India,IND,2017,SP.POP.0014.MA.IN,198093854.0
India,IND,2017,SP.POP.1564.FE.IN,434781814.0
India,IND,2017,SP.POP.1564.MA.IN,467043895.0
India,IND,2017,SP.POP.65UP.FE.IN,41914690.0
India,IND,2017,SP.POP.65UP.MA.IN,37281347.0
India,IND,2018,SP.POP.0014.FE.IN,179200843.0
India,IND,2018,SP.POP.0014.MA.IN,196462625.0
India,IND,2018,SP.POP.1564.FE.IN,441709500.0
India,IND,2018,SP.POP.1564.MA.IN,474541800.0
India,IND,2018,SP.POP.65UP.FE.IN,43698562.0
India,IND,2018,SP.POP.65UP.MA.IN,39045735.0
India,IND,2019,SP.POP.0014.FE.IN,177886985.0
India,IND,2019,SP.POP.0014.MA.IN,194822123.0
India,IND,2019,SP.POP.1564.FE.IN,448232319.0
India,IND,2019,SP.POP.1564.MA.IN,481642958.0
India,IND,2019,SP.POP.65UP.FE.IN,45559944.0
India,IND,2019,SP.POP.65UP.MA.IN,40885983.0
India,IND,2020,SP.POP.0014.FE.IN,176475236.0
India,IND,2020,SP.POP.0014.MA.IN,193049643.0
India,IND,2020,SP.POP.1564.FE.IN,454575427.0
India,IND,2020,SP.POP.1564.MA.IN,488513474.0
India,IND,2020,SP.POP.65UP.FE.IN,47391566.0
India,IND,2020,SP.POP.65UP.MA.IN,42612350.0
India,IND,2021,SP.POP.0014.FE.IN,175075695.0
India,IND,2021,SP.POP.0014.MA.IN,191276108.0
India,IND,2021,SP.POP.1564.FE.IN,460474670.0
India,IND,2021,SP.POP.1564.MA.IN,494806597.0
India,IND,2021,SP.POP.65UP.FE.IN,48729429.0
India,IND,2021,SP.POP.65UP.MA.IN,43841398.0
India,IND,2022,SP.POP.0014.FE.IN,173742919.0
India,IND,2022,SP.POP.0014.MA.IN,189564729.0
India,IND,2022,SP.POP.1564.FE.IN,465941614.0
India,IND,2022,SP.POP.1564.MA.IN,500684854.0
India,IND,2022,SP.POP.65UP.FE.IN,50207224.0
India,IND,2022,SP.POP.65UP.MA.IN,45281873.0
India,IND,2023,SP.POP.0014.FE.IN,172455965.0
India,IND,2023,SP.POP.0014.MA.IN,187882029.0
India,IND,2023,SP.POP.1564.FE.IN,471471101.0
India,IND,2023,SP.POP.1564.MA.IN,506719577.0
India,IND,2023,SP.POP.65UP.FE.IN,52259267.0
India,IND,2023,SP.POP.65UP.MA.IN,47281658.0
Japan,JPN,1990,SP.POP.0014.FE.IN,10837721.0
Japan,JPN,1990,SP.POP.0014.MA.IN,11414241.0
Japan,JPN,1990,SP.POP.1564.FE.IN,42731986.0
Japan,JPN,1990,SP.POP.1564.MA.IN,43480069.0
Japan,JPN,1990,SP.POP.65UP.FE.IN,8970545.0
Japan,JPN,1990,SP.POP.65UP.MA.IN,6043438.0
Japan,JPN,1991,SP.POP.0014.FE.IN,10507915.0
Japan,JPN,1991,SP.POP.0014.MA.IN,11056881.0
Japan,JPN,1991,SP.POP.1564.FE.IN,42954381.0
Japan,JPN,1991,SP.POP.1564.MA.IN,43772472.0
Japan,JPN,1991,SP.POP.65UP.FE.IN,9337085.0
Japan,JPN,1991,SP.POP.65UP.MA.IN,6335265.0
Japan,JPN,1992,SP.POP.0014.FE.IN,10229210.0
Japan,JPN,1992,SP.POP.0014.MA.IN,10760250.0
Japan,JPN,1992,SP.POP.1564.FE.IN,43103931.0
Japan,JPN,1992,SP.POP.1564.MA.IN,43974574.0
Japan,JPN,1992,SP.POP.65UP.FE.IN,9720634.0
Japan,JPN,1992,SP.POP.65UP.MA.IN,6636400.0
Japan,JPN,1993,SP.POP.0014.FE.IN,9977278.0
Japan,JPN,1993,SP.POP.0014.MA.IN,10492830.0
Japan,JPN,1993,SP.POP.1564.FE.IN,43204873.0
