year,country,policy,population,households,living_clans,births,deaths,migrants,mean_children_per_completed_family,mean_child_investment,upward_mobility_rate,high_status_share,median_household_resources,bottom_clan_extinction_share,below_deadline_share,occupational_persistence_rate,precarious_inheritance_rate,fertility_realization_gap,political_occupation_share,medical_occupation_share,precarious_occupation_share,unemployment_rate,injury_rate,homeownership_rate,licensed_physician_share,state_sector_share,political_dynasty_share,faction_concentration,elite_marriage_share
1988,CHN,独生子女为主（含例外）,1627,439,300,18,2,0,3.2247,4.234,0.21429,0.00559,19.58,0.0,0.55193,0.41057,0.29464,2.06929,0.0,0.01305,0.13793,0.04007,0.04567,0.54214,0.01305,0.12302,0.0,0,0.00236
1988,IND,国家家庭福利/计划生育项目（简化）,1853,436,300,37,0,19,3.6624,2.0624,0.16418,0.00363,14.1455,0.0,0.43186,0.38752,0.34,2.09901,0.00091,0.01907,0.12897,0.05359,0.03633,0.71789,0.01907,0.14351,0.0,0,0.0
1988,JPN,无专项生育限制,439,166,120,4,0,5,1.4476,37.8612,0.36364,0.03989,186.0587,0.0,0.16364,0.31481,0.33333,0.30423,0.0,0.04274,0.10826,0.03419,0.03704,0.60843,0.04274,0.16524,0.0,0,0.01227
1988,USA,无专项生育限制,743,261,200,3,1,14,1.566,42.0448,0.0,0.02972,189.3079,0.0,0.20339,0.36095,0.26923,0.32336,0.00175,0.02622,0.09441,0.05245,0.04021,0.62835,0.02622,0.15385,0.0,0,0.00389
1989,CHN,独生子女为主（含例外）,1637,457,300,17,4,3,3.2369,4.4453,0.10909,0.00534,20.9097,0.0,0.56458,0.41682,0.29365,2.11143,0.00089,0.01246,0.13434,0.05427,0.04715,0.54048,0.01246,0.12722,0.0,1.0,0.00227
1989,IND,国家家庭福利/计划生育项目（简化）,1878,460,300,34,3,6,3.6838,2.0363,0.2449,0.00349,13.265,0.0,0.43617,0.39273,0.33333,2.16979,0.00087,0.01834,0.12838,0.06026,0.03843,0.70435,0.01834,0.14323,0.0,0,0.0
1989,JPN,无专项生育限制,442,172,120,3,0,0,1.4464,35.0055,0.0,0.039,189.0313,0.0,0.16379,0.31897,0.33333,0.30856,0.0,0.04178,0.10864,0.04178,0.04178,0.61628,0.04178,0.16713,0.0,0,0.01183
1989,USA,无专项生育限制,760,272,200,8,0,9,1.5747,41.9882,0.30769,0.03146,175.4979,0.0,0.19903,0.37949,0.29032,0.31763,0.00166,0.02483,0.09437,0.05795,0.04139,0.63603,0.02483,0.16225,0.0,0,0.00373
1990,CHN,独生子女为主（含例外）,1652,475,300,20,5,0,3.2701,4.8339,0.25397,0.00591,21.7768,0.0,0.57048,0.41803,0.30496,2.14182,0.00084,0.01182,0.1402,0.05152,0.05152,0.54105,0.01182,0.13091,0.0,1.0,0.00219
1990,IND,国家家庭福利/计划生育项目（简化）,1914,482,300,45,4,5,3.737,2.0755,0.15517,0.00334,14.4433,0.0,0.43204,0.38994,0.33043,2.19648,0.00167,0.01753,0.12855,0.06511,0.03923,0.71369,0.01753,0.14524,0.0,1.0,0.0
1990,JPN,无专项生育限制,455,181,120,8,0,5,1.4397,34.8065,0.25,0.04336,185.0505,0.0,0.18254,0.31452,0.375,0.30647,0.0,0.04065,0.11111,0.04878,0.04065,0.61326,0.04065,0.17073,0.0,0,0.01124
1990,USA,无专项生育限制,764,284,200,7,3,0,1.5864,40.7061,0.3,0.03481,175.1574,0.0,0.19068,0.36889,0.26471,0.33086,0.00158,0.02532,0.09177,0.06171,0.04272,0.63028,0.02532,0.15981,0.0,0,0.0036
1991,CHN,独生子女为主（含例外）,1673,496,300,20,3,4,3.2644,5.2141,0.17391,0.00558,21.0168,0.0,0.58309,0.40795,0.30189,2.18075,0.0008,0.01116,0.14741,0.04303,0.05418,0.53629,0.01116,0.13466,0.0,1.0,0.0
1991,IND,国家家庭福利/计划生育项目（简化）,1959,504,300,50,2,3,3.7842,2.1737,0.19753,0.00314,14.3948,0.0,0.4505,0.39749,0.31783,2.20565,0.00157,0.01647,0.12627,0.05961,0.04078,0.70238,0.01647,0.1451,0.0,1.0,0.0
1991,JPN,无专项生育限制,462,185,120,4,0,3,1.4355,37.3618,0.44444,0.04724,184.042,0.0,0.18382,0.32331,0.33333,0.30401,0.0,0.03937,0.11286,0.04199,0.04199,0.61622,0.03937,0.1706,0.0,0,0.01099
1991,USA,无专项生育限制,765,296,200,6,1,4,1.5879,40.7185,0.17391,0.03385,170.4941,0.0,0.19455,0.38306,0.28205,0.34636,0.00154,0.02462,0.09692,0.04462,0.04,0.62838,0.02462,0.16308,0.0,0,0.00346
1992,CHN,独生子女为主（含例外）,1683,535,300,17,2,5,3.2653,5.6015,0.16667,0.0053,18.1757,0.0,0.58412,0.40213,0.28977,2.30638,0.00076,0.01136,0.14005,0.05375,0.0545,0.51776,0.01136,0.13626,0.0,1.0,0.0
1992,IND,国家家庭福利/计划生育项目（简化）,2013,529,300,51,2,5,3.7816,2.1315,0.21569,0.00376,14.6901,0.0,0.432,0.39583,0.3209,2.21466,0.0015,0.01579,0.12932,0.0609,0.04586,0.70132,0.01579,0.14361,0.0,1.0,0.0
1992,JPN,无专项生育限制,461,186,120,3,0,4,1.4309,36.5229,0.0,0.04675,187.4386,0.0,0.1831,0.31655,0.33333,0.29673,0.0,0.03896,0.10649,0.05714,0.04416,0.61828,0.03896,0.16883,0.0,0,0.01093
1992,USA,无专项生育限制,780,304,200,11,0,4,1.59,40.2032,0.3125,0.03593,175.8755,0.0,0.1978,0.38636,0.29268,0.32905,0.0015,0.02395,0.09581,0.0479,0.04042,0.62171,0.02395,0.17066,0.0,0,0.00337
1993,CHN,独生子女为主（含例外）,1710,563,300,31,1,3,3.2653,5.6009,0.13514,0.00517,20.3835,0.0,0.57712,0.39975,0.28729,2.3394,0.00074,0.01255,0.1417,0.05018,0.05609,0.51332,0.01255,0.13727,0.0,1.0,0.0
1993,IND,国家家庭福利/计划生育项目（简化）,2063,550,300,64,7,7,3.7945,2.2721,0.3,0.00365,15.3402,0.0,0.44025,0.39242,0.30263,2.19371,0.00146,0.01606,0.13066,0.05985,0.04599,0.69455,0.01606,0.14891,0.0,1.0,0.0
1993,JPN,无专项生育限制,472,194,120,4,0,7,1.4194,36.4993,0.0,0.04337,177.0324,0.0,0.17687,0.3169,0.36842,0.30634,0.0,0.03827,0.10714,0.04082,0.04592,0.62887,0.03827,0.17602,0.0,0,0.01047
1993,USA,无专项生育限制,793,310,200,10,0,3,1.59,37.1016,0.1,0.03529,180.6538,0.0,0.2,0.38686,0.28571,0.30738,0.00441,0.02353,0.09853,0.04412,0.04559,0.61935,0.02353,0.17353,0.0,1.0,0.0099
1994,CHN,独生子女为主（含例外）,1739,596,300,28,2,3,3.2712,5.4384,0.14286,0.00503,20.5812,0.0,0.56212,0.39611,0.28261,2.37043,0.00072,0.01222,0.13731,0.05823,0.05751,0.51342,0.01222,0.14162,0.0,1.0,0.0
1994,IND,国家家庭福利/计划生育项目（简化）,2113,576,300,57,1,6,3.7966,2.1492,0.14286,0.00354,15.7714,0.0,0.42399,0.39331,0.31646,2.21886,0.00213,0.0163,0.13466,0.05811,0.05103,0.6875,0.0163,0.14458,0.0,1.0,0.0
1994,JPN,少子化支持政策（合并简化）,481,196,120,7,0,2,1.424,34.5101,0.0,0.04293,180.5137,0.0,0.14094,0.3125,0.35,0.27172,0.0,0.03807,0.11421,0.04061,0.04315,0.63265,0.03807,0.17259,0.0,0,0.01036
1994,USA,无专项生育限制,802,320,200,8,0,5,1.59,36.3965,0.0,0.03514,182.806,0.0,0.20833,0.38406,0.28571,0.30884,0.00442,0.02507,0.09587,0.05162,0.04867,0.62187,0.02507,0.17552,0.0,1.0,0.00958
1995,CHN,独生子女为主（含例外）,1762,611,300,27,2,2,3.2712,5.5177,0.23529,0.00493,21.3447,0.0,0.5728,0.39323,0.2766,2.34821,0.00071,0.01201,0.13912,0.05438,0.05932,0.51227,0.01201,0.14336,0.0,1.0,0.0
